Item_Code,Department,Barcode,Image Link,Title,VAT_Rate,CasePrice,Num_Pieces_In_Unit,Units_In_Case,Cases_In_Stock
120321,Party & Catering,5026619390726,,Henbrandt Party Poppers 72s (X39072),20,59.3,1,10,1
459586,Party & Catering,5026619390399,,Henbrandt Holographic Party Poppers 20s Assorted (X39039),20,49.44,1,24,4
459584,Party & Catering,5026619390368,,Henbrandt Gold Holographic Party Poppers 20s (X39036),20,55.92,1,24,2
459585,Party & Catering,5026619390351,,Henbrandt Silver Holographic Party Poppers 20s (X39035),20,51.6,1,24,0
123003,Party & Catering,5026619390207,,Henbrandt Party Poppers Assorted Colours 12s (X39020),20,12.84,1,12,5
444835,Party & Catering,5026619380659,,Henbrandt Printed Punch Balloon 50s (X38065),20,39.2,1,4,3
136638,Toys & Leisure,5026619200025,,Henbrandt Air Aces Gliders Assorted (R20002),20,21.36,1,24,7
213699,Party & Catering,5026619090657,,Henbrandt Angel Flames Party Candles (X09065),20,12.84,1,12,0
229739,Toys & Leisure,5026619080221,,Henbrandt Gold Winners Medals 6s (T08022),20,10.68,1,12,4
458947,Home Furnishings,5026446158261,,Deyongs Bliss Pima Bath Sheet Teal (21001408),20,22.66,1,2,5
458939,Home Furnishings,5026446158063,,Deyongs Bliss Pima Bath Sheet Spearmint (206406),20,45.32,1,4,2
458937,Home Furnishings,5026446158018,,Deyongs Bliss Pima Bath Sheet White (21001401),20,22.66,1,2,1
458936,Home Furnishings,5026446157264,,Deyongs Bliss Pima Bath Towel Teal (206326),20,45.3,1,6,3
458927,Home Furnishings,5026446157066,,Deyongs Bliss Pima Bath Towel Spearmint (21001306),20,45.3,1,6,4
458925,Home Furnishings,5026446157011,,Deyongs Bliss Pima Bath Towel White (206301),20,45.3,1,6,1
458917,Home Furnishings,5026446156267,,Deyongs Bliss Pima Hand Towel Teal (206226),20,22.62,1,6,8
458906,Home Furnishings,5026446156069,,Deyongs Bliss Pima Hand Towel Spearmint (21001206),20,22.62,1,6,1
458905,Home Furnishings,5026446156014,,Deyongs Bliss Pima Hand Towel White (206201),20,22.62,1,6,3
458899,Home Furnishings,5026446154263,,Deyongs Bliss Pima Face Cloth Teal (21001008),20,6.42,1,6,1
458891,Home Furnishings,5026446154065,,Deyongs Bliss Pima Face Cloth Spearmint (21001006),20,6.42,1,6,3
484890,Home Furnishings,5026446154027,,Deyongs Bliss Pima Face Cloth Cream (21001002),20,6.42,1,6,3
458890,Home Furnishings,5026446154010,,Deyongs Bliss Pima Face Cloth White (206001),20,5.88,1,6,3
496264,Health & Beauty,5026445002909,,Blue Stratos 2pc Set (GSCGBLU024),20,16.14,1,6,0
496265,Health & Beauty,5026445002879,,Blue Stratos Aftershave 2pc Set (GSCGBLU025),20,36.12,1,6,0
485086,Health & Beauty,5026445000318,,Blue Stratos Body Spray 150ml (CGBLU047A),20,10.68,1,12,3
485730,Party & Catering,5026281999548,,"Round Silver Cake Board Wrapped 10"" (STRW10)",20,9.8,1,10,0
491182,Party & Catering,5026281561875,,"Round Rose Gold Cake Board Wrapped 10"" (STRW10RG)",20,11.6,1,10,3
480160,Party & Catering,5026281558394,,Small Sq Treat Boxes Gold Stars 3s (J108),20,13.92,1,12,1
480155,Party & Catering,5026281558387,,Sq Treat Boxes Rose Gold Polka Dot 3s (J107),20,18.24,1,12,0
480163,Party & Catering,5026281557847,,12 Hole Cupcake Box Gold Stars (J106),20,16.08,1,12,0
480158,Party & Catering,5026281557830,,12 Hole Cupcake Box Rose Gold Polka Dot (J105),20,22.56,1,12,0
480156,Party & Catering,5026281557823,,Sq Treat Boxes Rose Gold Polka Dot 2s (J104),20,21.48,1,12,0
480157,Party & Catering,5026281557816,,6 Hole Cupcake Box Rose Gold Polka Dot (J103),20,20.4,1,12,0
480159,Party & Catering,5026281557809,,"10"" Cake Box Rose Gold Polka Dot (J102)",20,12.84,1,12,1
480161,Party & Catering,5026281554600,,Sq Treat Boxes Gold Stars 2s (J081),20,16.08,1,12,0
480164,Party & Catering,5026281554532,,"10"" Cake Box Gold Stars (J074)",20,12.84,1,12,0
480162,Party & Catering,5026281554518,,6 Hole Cupcake Box Gold Stars (J072),20,15,1,12,0
485728,Party & Catering,5026281052908,,"Square Silver Cake Board Wrapped 10"" (STSW10)",20,9.8,1,10,0
485729,Party & Catering,5026281052892,,"Round Silver Cake Board Wrapped 12"" (STRW12)",20,12.5,1,10,1
434926,Housewares,5026180099769,,Apollo Beech Toilet Roll Spike (9976),20,14.52,1,6,1
414285,Housewares,5026180099653,,Apollo Soft Ice Cube Tray (9965),20,21.36,1,24,1
229472,Housewares,5026180099080,,Apollo Door Wedges 2s (9908),20,4.8,1,6,7
434925,Housewares,5026180098441,,Apollo Pedestal Mirror (9844),20,27.48,1,6,3
458686,Housewares,5026180098236,,Apollo Stainless Steel Measuring Spoons 4s (9823),20,8.58,1,6,8
476007,Housewares,5026180097406,,Apollo Square Glass Cannister 1lt (9740),20,33.36,1,12,0
483584,Housewares,5026180096041,,Apollo Cheese Board & Deluxe Knives (9604),20,44.24,1,4,4
483583,Housewares,5026180096027,,Apollo Cheese Box Slate & 4 Knives (9602),20,33.08,1,4,3
230376,Housewares,5026180093682,,Apollo Beech Thermometer (9368),20,27.84,1,24,1
229475,Housewares,5026180091770,,Apollo Churn Jug .25pint (9177),20,51.36,1,48,1
434921,Housewares,5026180091367,,Apollo Stainless Steel Veg Steamer 23cm (9136),20,14.52,1,6,1
476000,Housewares,5026180091046,,Apollo Revolving Rolling Pin (9104),20,23.3,1,10,3
475997,Housewares,5026180090797,,Apollo Pate Jar 200ml (9079),20,6.96,1,6,3
229476,Housewares,5026180090582,,Apollo Churn Jug .5pint (9058),20,10.74,1,6,2
229477,Housewares,5026180090575,,Apollo Churn Jug 1pint (9057),20,12.92,1,4,4
475995,Housewares,5026180089913,,Apollo Gravy Seperator 500ml (8991),20,23.64,1,12,0
434920,Housewares,5026180089722,,Apollo Over Door Hooks (8972),20,16.14,1,6,2
475993,Housewares,5026180089647,,Apollo Meat Mallet Metal End Double (8964),20,24.72,1,12,2
475992,Housewares,5026180087667,,Apollo Deep Butter Dish With Handle (8766),20,34.48,1,8,0
229469,Housewares,5026180085236,,Apollo Food Umbrella 40cm (8523),20,10.68,1,12,3
475991,Housewares,5026180084048,,Apollo Pate Jar 125ml (8404),20,6.42,1,6,10
475990,Housewares,5026180084031,,Apollo Jam Jar 350ml (8403),20,9.6,1,12,0
434919,Housewares,5026180082518,,Apollo Wood Toilet Roll Holder (8251),20,33.36,1,12,4
463447,Housewares,5026180077453,,Apollo Stainless Steel Coffee Maker 6 Cup (7745),20,49.62,1,6,1
463446,Housewares,5026180077446,,Apollo Stainless Steel Coffee Maker 4 Cup (7744),20,45.3,1,6,0
448138,Housewares,5026180076944,,Apollo Glass Board Clear 40 x 60cm (7694),20,26.56,1,8,1
457584,Housewares,5026180076821,,Apollo Rotary Chopper Whisk Large (7682),20,30.18,1,6,2
434913,Housewares,5026180075305,,Apollo Heart Dish (7530),20,4.26,1,6,18
229456,Housewares,5026180074735,,Apollo Lazy Susan (7473),20,43.71,1,3,1
229460,Housewares,5026180074612,,Apollo Hevea Wood Carving Board (7461),20,37.74,1,6,4
229473,Health & Beauty,5026180074148,,Apollo Pack2 Nail Brushes (7414),20,4.8,1,6,4
458688,Housewares,5026180073806,,Apollo Corkscrew Waiters Friend Deluxe (7380),20,9.6,1,12,3
463472,Housewares,5026180073660,,Apollo Rb Breakfast Board Egg (7366),20,15.06,1,6,2
463473,Housewares,5026180073592,,Apollo Rb Breakfast Board Toast (7359),20,16.14,1,6,3
448139,Housewares,5026180069403,,Apollo Glass Board Clear 28 x 38cm (6940),20,24.72,1,12,0
434910,Housewares,5026180067393,,Apollo Can Opener Stab (6739),20,5.34,1,6,6
448144,Housewares,5026180066587,,Apollo Coffee Plunger 350ml (6658),20,21,1,6,1
475981,Housewares,5026180065429,,Apollo Glass Cannister 290ml (6542),20,25.68,1,24,0
475978,Housewares,5026180065405,,Apollo Glass Cannister 380ml (6540),20,42.96,1,24,0
475976,Housewares,5026180065399,,Apollo Glass Cannister 700ml (6539),20,49.44,1,24,1
448136,Housewares,5026180063777,,Apollo Glass Sugar Pourer Small (6377),20,7.5,1,6,6
447688,Housewares,5026180062664,,Apollo Funnels Set Of 3 (6266),20,10.2,1,6,7
463469,Housewares,5026180061124,,Apollo Stainless Steel Cutlery Set 16pc Bead (6112),20,43.68,1,6,1
475974,Housewares,5026180060363,,Apollo Stainless Steel Utensil Holder (6036),20,15.6,1,6,3
490830,Housewares,5026180058100,,Apollo Stainless Steel Parmesan Grater (5810),20,42.72,1,48,0
447687,Housewares,5026180057998,,Apollo Cocktail Sticks (5799),20,14.88,1,24,1
448147,Housewares,5026180056892,,Apollo Coffee Maker 3 Cup 175ml (5689),20,24.24,1,6,5
434908,Housewares,5026180056649,,Apollo Fruit Bowl Round (5664),20,11.82,1,6,5
434905,Housewares,5026180052818,,Apollo Double Egg Cup (5281),20,16.14,1,6,0
458681,Housewares,5026180052436,,Apollo Stainless Steel Flat Grater (5243),20,32.04,1,36,0
454159,Housewares,5026180051408,,Apollo Stainless Steel Colander 5qt With (5140),20,32.28,1,12,0
454160,Housewares,5026180051392,,Apollo Stainless Steel Colander 1qt With 2 Handles (5139),20,12.84,1,12,1
434904,Housewares,5026180050616,,Apollo Mini Grater Stainless Steel Splash (5061),20,5.88,1,6,4
448148,Housewares,5026180047241,,Apollo Glass Teapot 600ml (4724),20,38.76,1,12,1
434900,Housewares,5026180041973,,Apollo Mini Shopping Trolley (4197),20,17.76,1,6,6
458677,Housewares,5026180040259,,Apollo Amalfi Ss Cutlery Set 16pc (4025),20,23.73,1,3,9
448140,Housewares,5026180040242,,Apollo Martele Cutlery Set 16pce (4024),20,47.46,1,6,1
463470,Housewares,5026180040136,,Apollo Stainless Steel Cutlery Set 16pc Fino (4013),20,47.46,1,6,1
425888,Housewares,5026180030328,,Apollo Mug Topper Sports 4 Asstd (3032),20,10.68,1,12,4
480171,Housewares,5026180029940,,Apollo Stainless Steel Oval Grater (2994),20,25.8,1,12,2
448145,Housewares,5026180026031,,Apollo Coffee Plunger 600ml (2603),20,28.56,1,6,3
434890,Housewares,5026180025263,,Apollo Toilet Brush Holder White (2526),20,19.92,1,6,2
434889,Housewares,5026180025218,,Apollo Toilet Roll Holder Chrome (2521),20,8.58,1,6,7
434888,Housewares,5026180025133,,Apollo Toilet Brush Holder Chrome (2513),20,17.76,1,6,1
229482,Housewares,5026180024396,,Apollo Vinci Jug 1ltr (2439),20,30.72,1,6,1
475822,Housewares,5026180024242,,Apollo Julienne Peeler (2424),20,34.08,1,48,0
229481,Housewares,5026180024228,,Apollo Vinci Jug 0.5ltr (2422),20,17.22,1,6,0
229479,Housewares,5026180024211,,Apollo Vinci Jug 0.125l (2421),20,8.04,1,6,0
229480,Housewares,5026180023931,,Apollo Vinci Jug 0.25lt (2393),20,12.36,1,6,4
434886,Housewares,5026180022668,,Apollo Gravy Boat Wide 500ml (2266),20,18.3,1,6,3
480170,Housewares,5026180021517,,Apollo Grate & Store (2151),20,22.62,1,6,3
425881,Housewares,5026180019293,,Apollo Glass Teapot 1.1lt (1929),20,27.48,1,6,1
475823,Housewares,5026180018777,,Apollo Ceramic Peeler (2823),20,34.08,1,48,0
425891,Health & Beauty,5026180018500,,Apollo Nail Brushes Splash (1850),20,2.1,1,6,16
404455,Housewares,5026180016889,,Apollo Beech Board Large 45x35c (1688),20,52.32,1,6,1
404521,Housewares,5026180016872,,Apollo Beech Board Medium (1687),20,35.04,1,6,3
404520,Housewares,5026180016865,,Apollo Beech Board Small 28x20c (1686),20,24.24,1,6,1
448134,Housewares,5026180015929,,Apollo Slate Meze Set (1592),20,25.32,1,6,0
454161,Housewares,5026180015912,,Apollo Slate Runner (1591),20,26.94,1,6,1
454162,Housewares,5026180015875,,Apollo Slate Square Placemat 2s (1587),20,20.65,1,5,1
448131,Housewares,5026180015622,,Apollo Cork Coasters Set Of 6 10cm (1562),20,36.6,1,12,2
448130,Housewares,5026180015615,,Apollo Cork Placemats Set Of 6 28x20c (1561),20,43.68,1,6,0
230546,Housewares,5026180014731,,Apollo Slate Tray (1473),20,45.3,1,6,0
230547,Housewares,5026180012706,,Apollo Slate Lazy Susan (1270),20,35.24,1,4,1
230548,Housewares,5026180012690,,Apollo Slate Cake Stand (1269),20,43.12,1,8,1
230544,Housewares,5026180012683,,Apollo Slate Placemats 2s (1268),20,19.3,1,5,1
230545,Housewares,5026180012676,,Apollo Slate Coasters 4s (1267),20,38.64,1,24,0
458698,Housewares,5026180011402,,Apollo Steak Knife Set 4pce (1140),20,19.38,1,6,1
260509,Health & Beauty,5026143995718,,Basic Nutrition Ginko Biloba 6000mg 30s (BNGB),20,5.59,6,1,6
260531,Health & Beauty,5026143994476,,Basic Nutrition Zinc Gluconate 10mg 60s (BNZG),20,4.99,6,1,4
260526,Health & Beauty,5026143993226,,Basic Nutrition Vitamin D 400iu 60s (BNVD),20,5.89,6,1,0
424784,Health & Beauty,5026143909715,,Basic Nutrition Vit C Chewable 500mg 30s (BNVC),20,6.59,6,1,6
429841,Health & Beauty,5026143909678,,Basic Nutrition Glucosamine Sulphate 500mg 30s (BNGS),20,5.79,6,1,2
451417,Health & Beauty,5026143909425,,Basic Nutrition Childrens A C & D Chewable 60s (BNCV),20,7.29,6,1,5
260502,Health & Beauty,5026143909333,,Basic Nutrition Cod Liver Oil 1000m 30s (BNCLO1),20,8.59,6,1,5
260501,Health & Beauty,5026143909326,,Basic Nutrition Calcium+vit D 200mg 60s (BNCP),20,4.99,6,1,0
260500,Health & Beauty,5026143909258,,Basic Nutrition B Complex 30s (BNBC),20,3.79,6,1,2
260522,Health & Beauty,5026143909241,,Basic Nutrition Omega 3 Fish Oil 500mg 30s (BN03),20,6.39,6,1,4
260507,Health & Beauty,5026143909227,,Basic Nutrition Garlic Capsules 2mg 60s (BNG6),20,8.69,6,1,2
260519,Health & Beauty,5026143909173,,Basic Nutrition Multi Vits&minerals 30s (BNMVM),20,7.49,6,1,3
474513,Giftware,5026139000860,,Thomas Fudges Marmite Cheese Biscuits 150g (X2625),0,2.99,1,1,0
474512,Giftware,5026139000310,,Thomas Fudges Marmite Flatbread 140g (X2624),0,0.99,1,1,0
325454,Health & Beauty,5025970803241,,Nivea Lotion Normal Skin 250ml (BD100326),20,15.6,1,6,5
128223,Health & Beauty,5025970802183,,Nivea Dry Skin Lotion 250ml (BD100364),20,15.6,1,6,9
325455,Health & Beauty,5025970111391,,Nivea Creme 50ml (BD111391),20,5.79,4,1,13
98353,Health & Beauty,5025970023281,,Nivea Men Sensitive A/s Balm 100ml (BD112244),20,28.56,1,6,1
98351,Health & Beauty,5025970023243,,Nivea Men Sensitive Shave Gel 200ml (BD112169),20,15.6,1,6,0
27575,Health & Beauty,5025970022918,,Nivea Sun Spray Spf15 200ml (BD111612),20,30.18,1,6,10
27576,Health & Beauty,5025970022840,,Nivea Sun Spray Spf30 200ml (BD111476),20,32.34,1,6,0
188182,Health & Beauty,5025970022574,,Nivea Soft Pot 200ml (BD109930),20,10.77,1,3,25
492688,Stationery & Office,5025874101764,,Concord Lever Arch Cloud (C216057),20,16.1,1,10,0
492687,Stationery & Office,5025874101603,,Concord Ringbinder Cloud A4 (C81101),20,9.8,1,10,0
492689,Stationery & Office,5025874100019,,Concord Box File Cloud (1274),20,26,1,10,0
471843,Household Consumables,5025802001258,,Toilet Rolls Loose 36 Large (PJTL36),20,43.14,1,6,8
494069,DIY & Pet,5025730008954,,Natures Variety Freeze Dried Chicken Toppers 120g (964567),20,4.79,1,1,14
494071,DIY & Pet,5025730008794,,Natures Variety Freeze Dried Beef Toppers 120g (964568),20,4.79,1,1,11
494073,DIY & Pet,5025730008756,,Natures Variety Freeze Dried Chicken Toppers 15g (964566),20,0.79,1,1,31
494841,DIY & Pet,5025730008701,,Natures Menu Real Meaty Lamb & Chicken Treats 120g (964565),20,20.72,1,7,0
494842,DIY & Pet,5025730008688,,Natures Menu Real Meaty Chicken Treats 120g (964569),20,20.72,1,7,0
494843,DIY & Pet,5025730008664,,Natures Menu Real Meaty Beef Treats 120g (964572),20,20.72,1,7,0
497958,DIY & Pet,5025730008619,,Natures Menu Country Hunter Dog Food Cans Meat Selection 400g (CHGCMUL4),20,15.49,12,1,3
494844,DIY & Pet,5025730008169,,Natures Menu Natures Variety Original Pate Cat Pouches 70g (NVMCP),20,29.67,12,3,3
497950,DIY & Pet,5025730007513,,Natures Menu Dog Food Cans Multipack 400g (965107),20,22.79,12,1,0
460443,DIY & Pet,5025730007308,,Natures Menu Country Hunter Dog Food Pouches Assorted 150g (CHDPF),20,13.39,12,1,19
497957,DIY & Pet,5025730006448,,Natures Menu Country Hunter Dog Food Cans Beef 600g (CHCB),20,11.59,6,1,2
473670,DIY & Pet,5025730006394,,Natures Menu Mighty Mixer Biscuit Salmon & Potatoes 2kg (NMMBS),20,33.05,1,5,0
